id,name,lon,lat,provincia,altitud,indsinop
2462,PUERTO DE NAVACERRADA,040038W,404735N,MADRID,1893,08215
3100B,ARANJUEZ,033246W,400402N,MADRID,540,08229
3104Y,RASCAFRÍA,035318W,405323N,MADRID,1159,
3110C,BUITRAGO DEL LOZOYA,033650W,410025N,MADRID,1030,08146
3111D,SOMOSIERRA,033450W,410808N,MADRID,1450,08145
3125Y,SAN SEBASTIÁN DE LOS REYES,033700W,403300N,MADRID,672,
3126Y,"MADRID, EL GOLOSO",034243W,403341N,MADRID,740,
3129,MADRID AEROPUERTO,033320W,402800N,MADRID,609,08221
3170Y,ALCALA DE HENARES,031723W,403142N,MADRID,605,
3175,TORREJÓN DE ARDOZ,032637W,402919N,MADRID,607,08227
3182Y,ARGANDA DEL REY,032952W,401842N,MADRID,533,
3191E,COLMENAR VIEJO,034554W,404146N,MADRID,1004,08219
3194U,"MADRID, CIUDAD UNIVERSITARIA",034327W,402706N,MADRID,664,08220
3194Y,POZUELO DE ALARCÓN,034848W,402654N,MADRID,665,
3195,"MADRID, RETIRO",034041W,402443N,MADRID,667,08222
3196,"MADRID, CUATRO VIENTOS",034710W,402232N,MADRID,690,08223
3200,GETAFE,034320W,401758N,MADRID,620,08224
3229Y,TIELMES,031842W,401450N,MADRID,594,
3266A,PUERTO ALTO DEL LEÓN,040831W,404223N,MADRID,1532,08217
3268C,ALPEDRETE,040103W,403935N,MADRID,924,
3330Y,ROZAS DE PUERTO REAL,042914W,401847N,MADRID,890,
3338,ROBLEDO DE CHAVELA,041460W,402540N,MADRID,763,08212
3343Y,VALDEMORILLO,040340W,402948N,MADRID,884,
